date,vn30_index_value
2022-10-03,47517.027003908406
2022-10-04,47901.09602839474
2022-10-05,48924.09030567459
2022-10-06,47579.55754441756
2022-10-07,46416.07841491785
2022-10-10,46686.046687982685
2022-10-11,45241.181671048136
2022-10-12,46692.37258144737
2022-10-13,46728.207702695916
2022-10-14,46822.46013298823
2022-10-17,46112.228941900226
2022-10-18,46728.444110939105
2022-10-19,46790.979839725114
2022-10-20,47034.382817544596
2022-10-21,45638.6764946677
2022-10-24,44458.014893318345
2022-10-25,45444.8117025385
2022-10-26,45459.66724178587
2022-10-27,46739.127607447466
2022-10-28,46140.22746470849
2022-10-31,46117.82832977831
2022-11-01,46447.35817877594
2022-11-02,45449.34336588266
2022-11-03,45127.35223150714
2022-11-04,44386.47327477747
2022-11-07,44240.640332342424
2022-11-08,45061.12237348457
2022-11-09,44855.10577921585
2022-11-10,43424.211451796975
2022-11-11,44492.51419381953
2022-11-14,44253.17010820233
2022-11-15,43410.626520158134
2022-11-16,44811.464203769625
2022-11-17,45523.2584749635
2022-11-18,45486.28666192848
2022-11-21,44790.625330405586
2022-11-22,44239.588969243865
2022-11-23,44053.68895516766
2022-11-24,44179.584236411174
2022-11-25,45158.270576393654
2022-11-28,46346.75801037788
2022-11-29,47078.60756237715
2022-11-30,47771.501905653175
2022-12-01,46954.3510051419
2022-12-02,48726.538107469554
2022-12-05,48992.69581397576
2022-12-06,46857.45172203872
2022-12-07,47377.236568617096
2022-12-08,47546.895167725466
2022-12-09,47015.71850854306
2022-12-12,45893.57162246025
2022-12-13,46597.19201321487
2022-12-14,46129.51465908217
2022-12-15,46412.732246798
2022-12-16,45829.53962220165
2022-12-19,45114.170900678575
2022-12-20,44797.07248271986
2022-12-21,45411.73439667024
2022-12-22,45463.30750250704
2022-12-23,45092.597887974785
2022-12-26,43734.72971063323
2022-12-27,44747.97018813087
2022-12-28,44723.19703094345
2022-12-29,44641.681131704565
2022-12-30,44582.64092749393
